timestamp,poolA_address,poolB_address,symbol_pair,fee_a,fee_b,priceA_token1_per_token0,priceB_token1_per_token0,twapA_tick,twapB_tick,twap_deviation_a,twap_deviation_b,cross_pool_deviation,liquidityA,liquidityB,tickA,tickB
2025-10-21T23:49:28.486854+00:00,0x88e6A0c2dDD26FEEb64F039a2c41296FcB3f5640,0x8ad599c3A0ff1De082011EFDDc58f1908eb6e6D8,USDC/WETH,5.0,30.0,0.0002582785259225165791877607732777105478028,0.0002582468255756632354252585385315160398437,0.0002581448874600654046602736483730403088628,0.0002582223386709081929710939356804219457950,0.05176878138709921,0.00948287622251374,0.012274459234729536,1122429001235731811,4931303081285603543,193705,193703
2025-10-21T23:49:34.872591+00:00,0x88e6A0c2dDD26FEEb64F039a2c41296FcB3f5640,0x8ad599c3A0ff1De082011EFDDc58f1908eb6e6D8,USDC/WETH,5.0,30.0,0.0002582785259225165791877607732777105478028,0.0002582468255756632354252585385315160398437,0.0002581448874600654046602736483730403088628,0.0002582223386709081929710939356804219457950,0.05176878138709921,0.00948287622251374,0.012274459234729536,1122429001235731811,4931303081285603543,193705,193703
2025-10-21T23:49:41.374433+00:00,0x88e6A0c2dDD26FEEb64F039a2c41296FcB3f5640,0x8ad599c3A0ff1De082011EFDDc58f1908eb6e6D8,USDC/WETH,5.0,30.0,0.0002580308470656269035860066561969412729882,0.0002582468255756632354252585385315160398437,0.0002581448874600654046602736483730403088628,0.0002582223386709081929710939356804219457950,-0.04417689444116647,0.00948287622251374,-0.08366757715141161,1122084472270795477,4931303081285603543,193695,193703
2025-10-21T23:49:49.012524+00:00,0x88e6A0c2dDD26FEEb64F039a2c41296FcB3f5640,0x8ad599c3A0ff1De082011EFDDc58f1908eb6e6D8,USDC/WETH,5.0,30.0,0.0002580308470656269035860066561969412729882,0.0002582468255756632354252585385315160398437,0.0002581448874600654046602736483730403088628,0.0002582223386709081929710939356804219457950,-0.04417689444116647,0.00948287622251374,-0.08366757715141161,1122084472270795477,4931303081285603543,193695,193703
2025-10-21T23:49:55.161331+00:00,0x88e6A0c2dDD26FEEb64F039a2c41296FcB3f5640,0x8ad599c3A0ff1De082011EFDDc58f1908eb6e6D8,USDC/WETH,5.0,30.0,0.0002579939094271659835926723627361500471531,0.0002582468255756632354252585385315160398437,0.0002581448874600654046602736483730403088628,0.0002582223386709081929710939356804219457950,-0.05848577300326241,0.00948287622251374,-0.09798380148977037,1122084472270795477,4931303081285603543,193694,193703
2025-10-21T23:50:01.413511+00:00,0x88e6A0c2dDD26FEEb64F039a2c41296FcB3f5640,0x8ad599c3A0ff1De082011EFDDc58f1908eb6e6D8,USDC/WETH,5.0,30.0,0.0002579939094271659835926723627361500471531,0.0002582468255756632354252585385315160398437,0.0002581448874600654046602736483730403088628,0.0002582223386709081929710939356804219457950,-0.05848577300326241,0.00948287622251374,-0.09798380148977037,1122084472270795477,4931303081285603543,193694,193703
2025-10-21T23:50:07.731037+00:00,0x88e6A0c2dDD26FEEb64F039a2c41296FcB3f5640,0x8ad599c3A0ff1De082011EFDDc58f1908eb6e6D8,USDC/WETH,5.0,30.0,0.0002579939094271659835926723627361500471531,0.0002582468255756632354252585385315160398437,0.0002581448874600654046602736483730403088628,0.0002582223386709081929710939356804219457950,-0.05848577300326241,0.00948287622251374,-0.09798380148977037,1122084472270795477,4931303081285603543,193694,193703
2025-10-21T23:50:13.993534+00:00,0x88e6A0c2dDD26FEEb64F039a2c41296FcB3f5640,0x8ad599c3A0ff1De082011EFDDc58f1908eb6e6D8,USDC/WETH,5.0,30.0,0.0002579939094271659835926723627361500471531,0.0002582468255756632354252585385315160398437,0.0002581190755525101536449091574572945794048,0.0002582223386709081929710939356804219457950,-0.048491621580562735,0.00948287622251374,-0.09798380148977037,1122084472270795477,4931303081285603543,193694,193703
2025-10-21T23:50:20.284510+00:00,0x88e6A0c2dDD26FEEb64F039a2c41296FcB3f5640,0x8ad599c3A0ff1De082011EFDDc58f1908eb6e6D8,USDC/WETH,5.0,30.0,0.0002579939094271659835926723627361500471531,0.0002582468255756632354252585385315160398437,0.0002581190755525101536449091574572945794048,0.0002582223386709081929710939356804219457950,-0.048491621580562735,0.00948287622251374,-0.09798380148977037,1122084472270795477,4931303081285603543,193694,193703
2025-10-21T23:50:26.461062+00:00,0x88e6A0c2dDD26FEEb64F039a2c41296FcB3f5640,0x8ad599c3A0ff1De082011EFDDc58f1908eb6e6D8,USDC/WETH,5.0,30.0,0.0002578543816178393959999084472656247255247,0.0002582468255756632354252585385315160398437,0.0002581190755525101536449091574572945794048,0.0002582223386709081929710939356804219457950,-0.10254721938088994,0.00948287622251374,-0.1520802324636686,1122084472270795477,4931303081285603543,193688,193703
